com_id,company,company_fullname,day,jnf_id,jnf_str
512,AIRBUS,AIRBUS Group India Private Limited,Day-1,,1_2_3_4_5_6_7_8
571,ALPHAGREP,AlphaGrep Securities,Day-1,1,1
562,AMERICAN EXPRESS,AMERICAN EXPRESS,Day-1,1,1
202,APPDYNAMICS,AppDynamics India Pvt Ltd,Day-1,4,4
549,APPLE,Apple India Private Limited,Day-1,1,1
323,AUCTUS ADVISORS,Auctus Advisors,Day-1,1,1
536,BLACKROCK,Blackrock,Day-1,1,1
97,CAPITAL ONE,Capital One Services (India) Private Limited,Day-1,2,2
192,COHESITY,Cohesity,Day-1,,2_3
156,EXL SERVICE,EXL Service,Day-1,2,2
118,FLIPKART (SDE),Flipkart,Day-1,2,2
140,GOLDMAN SACHS,Goldman Sachs,Day-1,2,2
201,GOOGLE (HW),Google,Day-1,3,3
201,GOOGLE (SW),Google,Day-1,2,2
285,HALMA,Halma plc (rep Halma India),Day-1,1,1
64,IBM,IBM Labs,Day-1,,1_2_3
106,ITC,ITC Limited,Day-1,3,3
392,JLR (MECH),Jaguar Land Rover India Limited,Day-1,2,2
211,JPMC GRC,JPMorgan Chase & Co.,Day-1,4,4
211,JPMC QR,JPMorgan Chase & Co.,Day-1,3,3
69,MICROSOFT,Microsoft India Pvt. Ltd.,Day-1,2,2
69,MICROSOFT (DS),Microsoft India Pvt. Ltd.,Day-1,4,4
422,NESTLE,Nestle India Ltd.,Day-1,,1_2
45,NOMURA (QUANT),Nomura Structured Finance Services India Pvt. Ltd.,Day-1,3,3
45,NOMURA (RISK),Nomura Structured Finance Services India Pvt. Ltd.,Day-1,4,4
45,NOMURA (STRATEGY),Nomura Structured Finance Services India Pvt. Ltd.,Day-1,5,5
673,PAYPAL,PayPal,Day-1,,1_2
216,PROCTER & GAMBLE,Procter & Gamble,Day-1,2,2
165,QUADEYE,Quadeye,Day-1,,5_6
162,QUALCOMM,Qualcomm India Pvt Ltd,Day-1,,3_4_5_6_7_8_9_10_11_12_13_14
391,SONY JAPAN,Sony Japan,Day-1,1,1
581,TSMC,Taiwan Semiconductor Manufacturing Company,Day-1,,1_2_3_4_5_6_7_8_9_10_11_12
17,UBER,Uber India Systems,Day-1,4,4
443,VEDANTA OIL AND GAS (CAIRN),VEDANTA OIL AND GAS,Day-1,1,1
42,AB INBEV,AB InBev,Day-2,2,2
375,ACCENTURE JAPAN,Accenture Japan Ltd.,Day-2,1,1
169,ACCENTURE SOLUTIONS,ACCENTURE SOLUTIONS PVT LTD,Day-2,2,2
520,ADOBE,Adobe,Day-2,1,1
18,AMAZON (SDE),Amazon India,Day-2,1,1
154,BAJAJ AUTO,Bajaj Auto Ltd,Day-2,,1_3
455,BARCLAYS,Barclays Global Service Center,Day-2,1,1
321,CITI,Citibank,Day-2,2,2
148,DR REDDY,Dr.Reddy s laboratories ltd,Day-2,2,2
399,ESSEX,Essex Lake Group,Day-2,1,1
156,EXL SERVICE,EXL Service,Day-2,3,3
118,FLIPKART,Flipkart,Day-2,3,3
449,FRACTAL,Fractal Analytics Pvt. Ltd.,Day-2,1,1
111,HONEYWELL,Honeywell,Day-2,3,3
111,HONEYWELL MECH,Honeywell,Day-2,6,6
690,J&J,Johnson & Johnson,Day-2,,1_2
392,JLR,Jaguar Land Rover India Limited,Day-2,,1_2_3
496,JPMC,JPMorgan Chase & Co.,Day-2,1,1
474,LINE CORP,LINE Corp,Day-2,1,1
546,MARVELL,Marvell Semiconductor,Day-2,,1_2_3_4
257,MASTERCARD,Mastercard,Day-2,6,6
176,MATHWORKS,MATHWORKS INDIA PVT LTD,Day-2,3,3
41,NUTANIX,Nutanix Technologies,Day-2,1,1
89,NVIDIA,Nvidia,Day-2,,2_3
274,OLA,ANI Technologies,Day-2,3,3
125,ONE PLUS,OnePlus,Day-2,1,1
149,ORACLE,Oracle India Private Limited,Day-2,3,3
224,RAZORPAY,Razorpay,Day-2,3,3
70,SALESFORCE,Salesforce,Day-2,2,2
389,SAP,SAP,Day-2,1,1
