about,address,category,city,com_id,company,country,employees,reference,sector,status,turnover,website,zipcode
,"
test
","
Government,Private
",test1,1,test,test2,"
Below 50
","
Self
","
Core Engineering,IT/Software
",0,"
Below 50
",test4,test3
,"
","
",,2,Green Point Technology services,,,,"
",0,,,
"
jdfjs
","
xyz
","
Government
",abc,3,abc_xyz,india,"
Below 50
","
Self
","
Core Engineering
",0,"
Between 500 to 1000
",xyz.com,143001
,"
C1-161
","
Government
",Kolkata,4,CDC,India,,"
Self
","
Core Engineering
",0,,www.iitkgp.ac.in,741101
,"
RK Hall, IIT Kharagpur
","
MNC
",KHARAGPUR,5,"Indian Institute of Technology, Kharagpur",India,"
Between 500 to 1000
","
Self
","
Analytics
",0,"
Between 500 to 1000
",khatwaniinternational.com,721302
,"
","
",,6,testcomp,,,,"
",0,,,
"
n0
","
ramnagermhrunroadjalgoan
","
Government
",jalgoan,7,centre government,india,"
Below 50
","
Alumini Contact
","
Manufacturing
",0,"
Below 50
",no,425001
,"
","
",,8,Testt,,,,"
",0,,,
"
Indeed.com is the #1 job site in the world, helping 180+ million people every month find jobs. We are looking for software developers interested in learning how to build innovative products that scale to tens of millions of pageviews a day. You will spend your summer with other computer science and engineering interns from top schools. You will work on a small product team with a mentor and other engineers, learning new technologies, innovating, and shipping code to production.
","
Block C, Divya Shree Omega, Jubilee Gardens,
","
MNC
","Hyderabad, Telangana",9,Indeed,India,"
Between 100 to 500
","
Contacted by CDC
","
IT/Software
",0,"
>5000
",www.indeed.com,500084
"
Lear is a global automotive technology leader in seating and electrical and electronic systems. Lear serves every major automaker in the world, and Lear content can be found on more than 400 vehicle nameplates. Lear's world-class products are designed, engineered and manufactured by a diverse team of approximately 169,000 employees located in 39 countries.Lear is recognized as one of the Worlds Most Admired Companies by Fortune and currently ranks #148 on the Fortune 500.Lear's headquarters are in Southfield, Michigan. Further information about Lear is available at lear.com, or follow us on Twitter @LearCorporation. Lear is where passion drives possibilities.
","
E 25-27, Bhosari MIDC
","
MNC
",Pune,10,Lear Corporation,India,"
>5000
","
Self
","
Automobile
",0,"
>5000
",www.lear.com,411026
,"
26th Floor, Urmi Estate, Ganpatrao Kadam Marg, Lower Parel West, Mumbai, Maharashtra 400013
","
StartUp
",Mumbai,11,Hotstar,India,"
Between 500 to 1000
","
Self
","
Core Engineering,IT/Software
",0,,www.hotstar.com,400013
"
LinkedIn was built to help professionals achieve more in their careers, and every day millions of people use our products to make connections, discover opportunities, and gain insights. Our global reach means we get to make a direct impact on the worlds workforce in ways no other company can. Were much more than a digital resume -- we transform lives through innovative products and technology.
","
LINKEDIN TECHNOLOGY INFORMATION PVT LTD, LINKEDIN TECHNOLOGY INFO
","
Private
","7TH FLOOR, TOWER A, GLOBAL TECHNOLOGY PARK, DEVARABISANAHALLI",12,Linkedin,India,"
Between 500 to 1000
","
Self
","
IT/Software
",0,,www.linkedin.com,560103
,"
#2870, Phoenix Building, Bagmane Constellation Business Park
","
MNC
",Bengaluru,13,"Samsung R&D Institute, Bangalore",India,,"
Self
","
IT/Software
",1,,research.samsung.com/sri-b,560037
,"
Cisco Systems (India) Private ltd. SEZ, Cessna Business Park, Sarjapur  Marathalli Outer Ring Road, Bangalore  560103, India
","
MNC
",Bangalore,14,Cisco Systems,India,"
>5000
","
Self
","
IT/Software
",1,,www.cisco.com,560103
"
CureFit operates a platform to power a healthy lifestyle and holistic cure across fitness, food, and mental well-being. The Company offers both digital and offline experiences across fitness, nutrition, and mental well-being through its 4 products: cult.fit, eat.fit, care.fit and mind.fit.
","
#17/17C BDA 3rd Sector, HSR Layout
","
Private,StartUp
","Bengaluru, KA",15,Curefit,India,"
Between 1000 to 5000
","
Alumini Contact
","
Ecommerce,Health Care
",0,,cure.fit,560102
,"
","
",,16,Cisco,,,,"
",0,,,
,"
DLF Phase 5 Sector 43 Golf Course Road
","
Other
",Gurgaon,17,Uber India Systems,India,"
Between 1000 to 5000
","
Self
","
IT/Software
",1,,www.uber.com,122002
,"
26/1, Brigade Gateway, Dr Rajkumar Rd, Malleshwaram West, Bengaluru, Karnataka 560055
","
Private
",Bangalore,18,Amazon India,India,"
>5000
","
Self
","
IT/Software
",1,,https://www.amazon.jobs/,560055
"
We partner with finance to help them and the organization achieve peak performance,
We provide a single, cloud-based EPM platform. It has everything you need  planning, consolidation, modeling, reporting, and analytics  in one place and accessible to everyone from anywhere.

We help you automate these everyday processes to accelerate insights and shorten the time it takes to turn those insights into action. The result is a company that is nimble and efficient, regardless of size or complexity.
","
#18, C&D Block, 3rd floor, iLabs Centre,
","
Private
",Hyderabad,19,Host Analytics Software Private Limited,India,"
Between 100 to 500
","
Contacted by CDC
","
Core Engineering,IT/Software
",0,"
Between 50 to 100
",https://hostanalytics.com/,500081
"
Private firm
","
J/175
","
Private
",Bhopal,20,YuktiRichharia,India,"
Between 100 to 500
","
Contacted by CDC
","
IT/Software
",0,"
>5000
",gmail,462003
"
FIITJEE Ltd. is a leading education company and the most powerful brand in supplementary education in India, with Pan India & International presence. We have more than 83 centres across India and 2 centres in Qatar and Bahrain. Our HQ is in Delhi. We are growing at an enviable rate and are a true corporate entity in our segment. We are the No.1 player in the market for intensive preparation for IIT-JEE/ other Engineering entrance examinations, Olympiads and Scholastic examinations KVPY, NTSE etc. We endeavour to command a leadership position in the formal education space and plan to become the most valuable Education Enterprise by 2020. We have extensive plans to establish a chain of Schools, Engineering and Medical colleges across India in the near future. As a part of our regular recruiting programme, we need trainee graduates in various disciplines. Our compensation is amongst the best in the industry.
","
CORPORATE OFFICE : FIITJEE LIMITED, 7/2,Vashisht House, Kalusarai, Hauzkhas, New Delhi, Landmark : Near Vijay Mandal Enclave, Kalusarai(Nearest Metro Station - Hauzkhas)
","
Private
",New Delhi,21,FIITJEE LIMITED,India,"
Between 1000 to 5000
","
Contacted by CDC
","
Teaching / education
",0,"
Between 500 to 1000
",www.fiitjee.com,110016
