about,address,category,city,com_id,company,country,employees,reference,sector,turnover,website,zipcode
"
About American Express

American Express is a global services company that provides consumers and businesses with exceptional access to products, insights and experiences that enrich lives and build business success. We make it easier, safer and more rewarding for consumers and businesses to purchase the things they need and for merchants to sell their goods and services through innovative payment, travel and expense management solutions.
","
American Express Commercial Block-3, Zone-6, DLF City Phase-V, Gurugram  122002 | Haryana
","
Private
",Gurugram,562,AMERICAN EXPRESS,India,"
>5000
","
Contacted by CDC
","
Finance
","
>5000
",https://careers.americanexpress.com/?source=footer_careers&inav=in_sitefooter_career,122002
"
""AppDynamics is an application performance monitoring solution that uses machine learning and artificial intelligence (AI) to provide real-time visibility and insight into IT environments. With our unique AIOps solution, you can take the right action at exactly the right time with automated anomaly detection, rapid root-cause analysis, and a unified view of your entire application ecosystem, including private and public clouds.Using AppDynamics, youll finally align IT, DevOps, and the business around the information that helps you protect your bottom line and deliver flawless customer experiences at scale.""
","
3rd and 4th floor Commerz building, Bagmane Tech Park,
","
MNC,StartUp
","Bengaluru,  Karnataka",202,AppDynamics India Pvt Ltd,India,"
Between 1000 to 5000
","
Alumini Contact
","
IT/Software
","
>5000
",www.appdynamics.com,560093
"
About Apple in IndiaApple revolutionised personal technology with the introduction of the Macintosh in 1984. Today, Apple leads the world in innovation with iPhone, iPad, Mac, Apple Watch and Apple TV. Apples four software platforms  iOS, macOS, watchOS and tvOS  provide seamless experiences across all Apple devices and empower people with breakthrough services including the App Store, Apple Music, Apple Pay and iCloud. Apples more than 100,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it.In India, Apple is expanding and developing features with local customers in mind these include support for Hindi dictation and new language keyboards on iOS11, support for local traffic in Maps and up-to-date cricket scores and stats by simply asking Siri.In addition, Apple Musics curation featuring the best of Dance, Pop, Rock, Bollywood and more, combined with the compelling student and family memberships available in Indian rupees means music fans across the country hear and watch it first on Apple Music.Last year, a new, world-class, LEED-certified office opened for the expanding team in Hyderabad, focused on developing Maps for Apple products. A first-of-its- kind App Accelerator in Bengaluru recently launched and has already trained thousands of iOS developers. The iOS app economy in India is more vibrant than ever. Indian app developers have created almost 100,000 apps for the App Store and this continues to grow.Apple expects to be running all of its business in India on renewable energy by the end of 2017.
Information Systems and TechnologyThe Information Systems & Technology (IS&T) organization produces key business and technical infrastructure at Apple  handling orders from the online store creating applications that enhances the retail store experience providing network bandwidth for our services around the world processing every transaction in iTunes and closing the books. IS&T does it all.If youre a born problem solver who enjoys collaborating on the next big thing we may just have your dream Job.
Key Qualifications
 Pursuing an Graduate or Masters degree Excellent quantitative and communication skills
 Programming knowledge in at least one of the following areas: iOS OS X or WatchOS development (Objective-C Swift) Web development (JavaScript HTML CSS3) Server-side development (Java)
 Leadership experience
 Related internship experience
 Graduating year 2017 - 2018EducationDesired Majors include: CS CE ECE EECS IS IT and other related fields of study.
Location: This role is based in Hyderabad India.Apple is an Equal Employment Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants including minorities women protected veterans and individuals with disabilities.
","
Waverock SEZ campus, Financial District Road Number 2, Nanakramguda - Gachibowli 500082
","
Other
",Hyderabad,549,Apple India Private Limited,India,"
Between 100 to 500
","
Self
","
Others
","
>5000
",apple.com,500082
"
Auctus Advisors Pvt Ltd is a management consulting firm committed to supporting Board members, CXOs and Senior managers in finding solutions to their most important business problems spanning strategy, organisation, operations and processes, in helping them execute the solutions across their organisation and in the process creating sustainable value for the client. Started in 2010, we have grown to 85+ consultants today. We have offices in Mumbai, Bangalore, Delhi, Hyderabad and overseas offices in Manila and Cebu.
","
4th Floor, Worldmark II, Aerocity, New Delhi, Delhi 110037
","
Private
",New Delhi,323,Auctus Advisors,India,"
Between 50 to 100
","
Contacted by CDC
","
Consulting
",,www.auctusadvisors.in,110037
"
BlackRock is one of the worlds preeminent asset management firms and a premier provider of global investment management, risk management and advisory services to institutional, intermediary and individual investors around the world. BlackRock offers a range of solutions  from rigorous fundamental and quantitative active management approaches aimed at maximizing outperformance to highly efficient indexing strategies designed to gain broad exposure to the worlds capital markets. Our clients can access our investment solutions through a variety of product structures, including individual and institutional separate accounts, mutual funds and other pooled investment vehicles, and the industry-leading iShares® ETFs.
","
Building -14 Tower C 14th floor DLF-Cyber city DLF Phase-2
","
Private
",Gurgaon,536,Blackrock,Haryana,"
Between 1000 to 5000
","
Self
","
IT/Software
",,https://www.blackrock.com/,122022
"
At DataLabs Capital One India, we are at the cutting edge of solving some of the fundamental business problems using advanced data methodologies, statistics and machine learning algorithms. The team also builds tools and products that aid validation of credit and market risk models required for regulations such as Basel & CCAR. The mission of DataLabs is to build strategically important and path breaking data products and solutions to meet contemporary business needs. We create patentable products by innovating in each stream that we work on. This is achieved through deep expertise in advanced analytics, data science, machine learning, engineering, automation and product design.
","
Ascendas ITPB SEZ 3rd Floor Voyager Building ITPL Whitefield Main Road
","
MNC
",Bangalore,97,Capital One Services (India) Private Limited,India,"
Between 100 to 500
","
Self
","
Analytics
",,www.capitalone.com,560066
"
EXL is an established leader in the analytics domain with a consistent industry beating growth record over the last few years. Our Analytics services portfolio contributes to ~35% of the overall $883Mn revenues earned in FY2018. By virtue of its continued emphasis on strategic acquisitions in analytics product portfolio, EXL has been recognized as a leader and a star performer by majority of analyst groups like Everest, IDC, HfS, and at forums like NASSCOM
","
4th Floor, Tower C&D, Building no.14, DLF Cybercity
","
Private
",Gurgaon,156,EXL Service,India,"
Between 1000 to 5000
","
Contacted by CDC
","
Analytics
","
Between 1000 to 5000
",www.exlservice.com,122002
"
Flipkart Pvt Ltd. is an Indian electronic commerce company based in Bengaluru, India. Founded by Sachin Bansal and Binny Bansal in 2007.
","
Flipkart Tower 5A - Embassy Tech Village
","
Private
",Bangalore,118,Flipkart,India,"
>5000
","
Contacted by CDC
","
IT/Software,Ecommerce
","
>5000
",www.flipkart.com,560037
,"
Princeville, Embassy Golf Links, Domlur, Bangalore
","
MNC
",Bengaluru,140,Goldman Sachs,India,"
>5000
","
Self
","
Investment Banking
","
>5000
",www.gs.com,560071
,"
Google India Pvt Ltd.
","
Private
",Bangalore,201,Google,India,"
>5000
","
Contacted by CDC
","
Core Engineering
","
>5000
",www.google.com,560037
