about,cgpa_cutoff,com_id,contract,criteria,dep_str,jnf_id,name,package,profile,selection,status,type
"At Indeed, our mission is to build software that helps people get jobs. Weve built a fast, efficient, and reliable platform that handles 5+ billion job search queries every month. We provide the simplest job search with the most complete results, the easiest way to manage your resume and apply to jobs, and a powerful mobile app that handles over 50% of our traffic. As we continue building more great products, we are looking for ideas from every field of computer science to keep pushing us forward. This includes machine learning, big data, distributed computing, natural language processing, information retrieval, user interface design, and other technologies. We are looking for engineers who are passionate about coding, love intellectual challenges, are eager to learn, and want to work with a variety of technologies to solve interesting problems.
Joining Indeed as a software engineer right out of school is not like a typical entry level job. You will have lots of ownership and the opportunity to make a big impact right away. We believe in autonomy, responsibility, and fast iteration. You will work together with a small product team to design, develop, test, and launch products.
We are addicted to data; we use it to make product and architectural decisions, as well as improve the results generated by our ranking and recommendation algorithms. You will get the opportunity to dig into massive datasets available at Indeed to analyze, inform, and develop solutions to the right problems.
Your objective will be to find simple, fast, resilient, and scalable solutions using back-end and front-end technologies that are best suited for the job. We embrace open source technologies and contribute some of our core software back to the open source community. As our fast-growing company changes and evolves, you will also have opportunities to move between projects so that we can work on what matters the most.

Requirements​​:
● Pursuing BS or BS in Computer Science or related area, or relevant work experience
● 0+ years Programming experience in one or more of the following languages: Java and/or
Python, Javascript, C, C++
● Experience with large-scale, high-performance systems is a plus
● Experience building solutions for high-traffic websites a plus
● Experience building rich-client and/or mobile-optimized web applications a plus",,9,NO Bond,,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,2,Indeed,"1800000 INR  [5,00,000 Sign on Bonus
5,00,000 1st Year
5,00,000 2nd Year
LTIP worth 5000]",Software Developer,Online/Offline test (Max 30 mins),0,PLACEMENT
Software Engineer ( Research ),0.0,13,No,,AT_CS_EE_EC_TE_MA,2,"Samsung R&D Institute, Bangalore","2500000 INR  [Annual CTC  25 Lacs 
Total target Compensation  39 lacs (Bonuses spread across 3 years )

Break-up of Salary:
 [18L (Annual Gross) + 3L *(Retention bonus) + 4L ** (Sign On Bonus)

* Total Retention Bonus = 9 lacs will be paid as guaranteed for 3 years only (3 lacs each year). This will be paid in equal instalments at every 6 months of service completion. 

**Total Sign-On Bonus = 12 lac will be paid 3 years only ( 4 lacs each year) . The payouts will happen along with the 12th, 24th and 36th month salary.

*** In Addition to the above distance based relocation bonus ranging from (30k to 50k) is given to outstation candidates.

**** First Week Accommodation is provided by the company.]",Software Engineer ( Research ),"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"Software Engineer ( Developer )
Only for M.tech students",0.0,13,NO,,AT_CS_EE_EC_ES_TE_MA,3,"Samsung R&D Institute, Bangalore","2200000 INR  [Annual CTC  22 Lacs 
Total target Compensation  29 lacs ( Bonuses spread across 2 years)


Break-up of Salary:
 [15L (Annual Gross) + 3L *(Retention bonus) + 4L ** (Sign On Bonus)

* Total Retention Bonus = 6 lacs will be paid as guaranteed for 2 years only (3 lacs each year). This will be paid in equal instalments at every 6 months of service completion. 

**Total Sign-On Bonus = 8 Lacs  will be paid 2 years only ( 4 lacs each year) . The payouts will happen along with the 12th, 24th month salary.

*** In Addition to the above distance based relocation bonus ranging from (30k to 50k) is given to outstation candidates.

**** First Week Accommodation is provided by the company.]","Software Engineer ( Developer )
Only for M.tech students","Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"About the Team: 
5G PHY Modem Systems & RTL Design
We invite you to be an enthusiastic and intrigued member of the team that has been innovating and making 5th Generation (5G) Wireless Communication a reality since 2012.  Team has been taking active part in World first mmWave pre-5G systems innovations, New Radio Massive MIMO PHY designs, demonstrations and product development and thus fuelling the worldwide research for 5G standardizations. Over the years, team has been contributing to the 5G PHY research, design, development and deployments through relentless innovations in systems and HW/SW architectures.
We invite you to join this very dynamic team and grow along with. The team is destined to create the best 5G Networks solutions across the industry. This is very significant for Samsung because we have been the pioneer of 5G technology and continue to lead the way in industry today.
 SRI-Bangalore 5G team is looking for people who can design and innovate. It will enable you to explore and see your dream working in reality. 
The role Wireless Modem Systems Engineering and VLSI design will provide you a challenging platform to design and innovate complex signal processing systems and algorithms for 5G wireless communication systems.

About the Role:
Wireless Modem Systems & VLSI Design
-	Design and development of digital HW modules on FPGA/ASIC using Verilog/VHDL for very high speed next generation wireless modem technologies
-	Responsible for designing, modelling, verifying and integrating the digital sub-systems implemented on the state of art FPGAs/ASICs
-	Project deliverables include models/algorithms of digital modem sub-systems on FPGA/SoCs; these models are to be 
a.	bit-accurate matches to the corresponding Verilog/MATLAB implementation, meeting very strict timing requirements
b.	used for link-level performance characterization and field trials with RF. 

Eligibility: For all above positions, MTech/ MS(Research)/PhD in Wireless Communication and/or VLSI Design is required.",0.0,13,No,,EE_EC_TE,4,"Samsung R&D Institute, Bangalore","2200000 INR  [Annual CTC  22 Lacs 
Total Target Compensation  29 Lacs (Bonuses spread across 2 years)

Break-up of Salary:
15L (Annual Gross) + 3L *(Retention bonus) + 4L ** (Sign On Bonus)

* Total Retention Bonus = 6 lacs will be paid as guaranteed for 2 years only (3 lacs each year). This will be paid in equal instalments at every 6 months of service completion. 
**Total Sign-On Bonus = 8 Lacs  will be paid 2 years only (4 lacs each year) . The payouts will happen along with the 12th and 24th month salary.
*** In Addition to the above distance based relocation bonus ranging from (30k to 50k) is given to outstation candidates.
**** First Week Accommodation is provided by the company.]",Hardware Engineer,Resume,1,PLACEMENT
"Job Description

We are Cisco: The Internet of Everything is a phenomenon driving new opportunities for Cisco and it is transforming our customers businessesworldwide.Wearepioneersandhavebeensincetheearlydaysofconnectivity. Today,wearebuildingteams that are expanding our technology solutionsin the mobile, cloud, security, IT, and big data spaces, including software and consulting services. As Cisco delivers the network that powers the Internet and carry more than 80% of the data, we are connecting the unconnected. Imagine creating unprecedented disruption. Your revolutionary ideas will influence everything from retail, healthcare, and entertainment, to public and private sectors, and far beyond. Collaborate with like-minded innovators in a fun and flexible culture that has earned Cisco global recognition as a Great Place to Work. With roughly 10 billion connected things in the world now and over 50 billion estimated in the future, your career has exponential possibilities at Cisco. We strive to make a difference in human endeavor for excellence through technology. We change the world in how they work, live and play and we believe each of us have an innate positive power in us which can be harnessed given right environment. Whatever you do here at Cisco impacts hundreds of thousands of customers and their lives. Consider some of the key traits we are proud of We have a vibrant engineering community of talented likeminded people who are passionate about solving engineering problems. A large campus at the heart of the city and flexible workspace helps you unleash your creative capabilities. You own the way you work, play, learn giving you a healthy and meaningful work life balance. Innovation that matter are part of Cisco life, if you are the kind who like to challenge and disrupt the status quo, you belong with us. You have an idea, which you want to bring to life; nobody better incubates your ideas then us. Built upon by like-minded people exercising the elasticity of your idea you will realize the real worth of your idea here at Cisco. Collaboration is key part of Ciscos DNA so that we consistently provide meaningful and timely value to our customers. If you are passionate about the solving customer problems, willing to contribute to your fullest potential then you can be part of Ciscos collaborative journey. At Cisco, you have opportunities in abundance to learn; you will be coached at all levels and mentored by Ciscos best minds. You bring your passion and commitment and we will ensure you are groomed in every way for achieving successful and satisfying work life. Cisco has a clear purpose for the organization and society we are part of, we involve in social causes we believe in to make a difference to the people around us. If you are a person who feels strong about the environment, society and have a cause, which matters to you, come join us and get the might of Cisco behind you to make that difference to the world. If you are ready to be part of Cisco: You will play a crucial role in driving next-gen software innovations including cloud, mobile, desktop or security spaces. You will build applications that make technology accessible to people on a variety of devices. Imagine, design, and create solutions to transform how we work, live, learn and play. We want you to be: Software Engineer  Application Software § Solid understanding of computer science fundamentals and software engineering with an aptitude for learning new technologies § Fundamentals of TCP/IP networking fundamentals, concepts of routing, switching § Strong knowledge of programming and scripting languages like python. § Solid fundamentals of object oriented design and programming § Ability to think towards scaling applications to the cloud § Strong testing inclination to ensure programs are comprehensive and well tested for all use cases § Hands on exposure to open source, mobile application development will be a big plus § Exposure to debugging application programs along with development and debugging tools § Familiar with more than one development environment, well-versed with at least one § Interest in User experience and User interface design and development § Possess creative problem solving skills and excellent troubleshooting/debugging skills § Experience in establishing and sustaining excellent relationships with the extended team § Good Analytical skills § Excellent verbal and written skills Software Engineer  Networking Protocols § Solid understanding of computer science fundamentals and software engineering with an aptitude for learning new technologies § Fundamentals of TCP/IP networking fundamentals, concepts of routing, switching. § Basics of routers, switches, network debugging tools, techniques, hands on will be a big plus § Fundamentals of security technologies like Firewall, IPS/IDS, VPN, Inspections, IPsec, TLS etc., § Conceptual understanding of data security, threat vectors, mechanisms, actors and landscape will be a big plus § Strong knowledge of programming and scripting languages like python § Strong programming skills inclined towards optimization and performance § Familiar with more than one development environment, well-versed with at least one § Strong testing inclination to ensure programs are comprehensive and well tested for all use cases. § Possess creative problem solving skills and excellent troubleshooting/debugging skills § Experience in establishing and sustaining excellent relationships with the extended team § Good Analytical skills § Excellent verbal and written skills Software Engineer  Embedded and Systems Development § Solid understanding of computer science fundamentals and software engineering with an aptitude for learning new technologies § Strong knowledge of programming and scripting languages like python § Exposure to kernel programming, user space, system space § Very strong fundamentals of operating systems § Exposure to device drivers, BSPs will be a plus § Fundamentals of system level debugging techniques and exposure to tools used § Strong programming skills with emphasis on system programming § Possess creative problem solving skills and excellent troubleshooting/debugging skills § Experience in establishing and sustaining excellent relationships with the extended team § Excellent verbal and written skills § Good Analytical skills
Shortlisting through

Online/Offline test (Max 30 mins)",6.5,14,No,CGPA 6.5 and above,AT_CS_EE_EC_TE_MA,2,Cisco Systems,"3760033 INR  [Details	BE
Gross Base Salary	16,00,000
Provident Fund	96,000
Gratuity	38,400
Performance Bonus	1,12,000
Total	18,46,400
Sing-on Bonus(Paid out in two equal installments after the completion of 1 year and 2 years in Cisco)	3,00,000
RSU (Vesting over 4 years)	14,80,300
Relocation Bonus(Applicable for employees relocating from a different city)	1,33,333
Total CTC	37,60,033

Details	Masters
Gross Base Salary	17,00,000
Provident Fund	1,02,000
Gratuity	40,800
Performance Bonus	1,36,000
Total	19,78,800
Sing-on Bonus(Paid out in two equal installments after the completion of 1 year and 2 years in Cisco)	3,00,000
RSU (Vesting over 4 years)	14,80,300
Relocation Bonus(Applicable for employees relocating from a different city)	1,41,666
Total CTC	39,00,766

PF & Gratuity are retiral benefits which are paid as per Government guidelines
**    Paid Annually and will vary by company & Individual performance
***  One-time sign-on bonus is payable in two (2) equal installments, payable at the end of 1st year(13th month) and 2nd  
       year(25th month) from your employment start date.
**** RSU grants will still vest over 4 years with the first vest (25% of the grant) coming a year after approval. The remaining grant value will vest
       quarterly (about 6.25% of the total grant each quarter) over the remaining 3 years. RSU Conversion Price at USD 53.79, I USD = 68.8 INR.
***** Applicable for Employees relocating from a different City]",Software Engineer,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"Job Description

ASIC Job Description  In this role, you will participate in the design and verification of leading-edge multimillion gate, 16nm (or smaller geometry) ASICs. Our team develops custom switching / routing ASICs for use in Ciscos flag bearer products like the Catalyst 3750, Catalyst 92xx, Catalyst 93xx, Catalyst 94xx switching platforms, Nexus 9K, MDS9K Datacenter Switching platforms, ASR9K Routing platforms as well as ASICs critical to strategic product areas being aggressively pursued by Cisco. These silicon chips are used to build high density 10Gbps/40Gbps/100Gbps or higher speed multi-protocol switches / routers. The ASICs have the network and fabric interfaces and have a rich feature set that includes multiple high bandwidth ports, low-latency, on chip-buffers, queuing, scheduling, congestion management. The ASICs support multiple standard and emerging protocols. Responsibilities: You will participate in the design and verification process starting with high-level conceptual and architectural discussions and ending with micro architecture and design partition within the ASIC. You will find that design courses such as digital logic, computer architecture and organization, and network/communication architecture will be very helpful throughout this stage. Datapath pipelines, state-machines, and computer arithmetic elements are key components within the ASIC. Skills: Hardware design, the test/verification environment is designed using an object-oriented framework designed in C++ so you will use knowledge from your programming courses that include advance data structures, algorithms, and design patterns as well as languages such as Verilog HDL, C, and C++. You will aid in the architecture of the test environments which include developing constrained random stimulus generators, automated response checkers, and advanced configuration and programming API components using UVM. Some of these components are reused across the entire phase of the project from module, chip and system level verification on Linux based verilog simulators. Problem solving skills and out-of-the-box thinking to create area and power efficient hardware designs as well as reusable C++ classes for the verification and simulation environments. Physical Implementation of blocks, clock trees, Static Timing Analysis, DFT, Logic Equivalence Checks are part of the Physical Design specialist profile. Writing thorough and detailed specifications and test plans as well as oral descriptions will enable your ideas and concepts to be reviewed and accepted by other team members. BSEE is required/MSEE is preferred. Team-player, can-do attitude will work well in a group environment while still being able to contribute on an individual basis and you will find that you'll have lots of fun and thrive in this environment if you enjoy being challenged,
Shortlisting through

Online/Offline test (Max 30 mins)
Allowed Departments and degrees

ELECTRICAL ENGINEERING
DUAL DEGREE --- ELECT.ENGG. INSTRUMENTATION AND SIGNAL PROCESSING ENGG.(M.TECH DUAL 5Y)
DUAL DEGREE --- INSTRUMENTATION AND SIGNAL PROCESSING ENGINEERING(M.TECH DUAL 5Y)
M.TECH --- INSTRUMENTATION AND SIGNAL PROCESSING
ELECTRONICS AND ELECTRICAL COMMUNICATION ENGG.
DUAL DEGREE --- ELECT.&ELEC.COM.ENGG.MICROELECTRONICS & VLSI DES.(M.TECH DUAL5Y)
DUAL DEGREE --- ELECT.&ELEC.COM.ENGG.TELECOMM SYSTEM ENGG.(M.TECH DUAL5Y)
MS 
M.TECH --- MICROELECTRONICS & V L S I DESIGN
M.TECH --- TELECOMMUNICATION SYSTEMS ENGINEERING
G.S SANYAL SCHOOL OF TELECOMMUNICATION
MS 
M.TECH --- WIRELESS COMMUNICATIONS AND NETWORKS",,14,NO,CGPA 6.5 and above,AT_ET_CS_EE_EC_ES_TE_IM_MA_RE,3,Cisco Systems,"3760033 INR  [Details	BE
Gross Base Salary	16,00,000
Provident Fund	96,000
Gratuity	38,400
Performance Bonus	1,12,000
Total	18,46,400
Sing-on Bonus(Paid out in two equal installments after the completion of 1 year and 2 years in Cisco)	3,00,000
RSU (Vesting over 4 years)	14,80,300
Relocation Bonus(Applicable for employees relocating from a different city)	1,33,333
Total CTC	37,60,033]",Hardware Engineer,"Resume,CDC Pre-Assess Scores,Online/Offline test (Max 30 mins)",1,PLACEMENT
a,,14,a,,,5,Cisco Systems,1 INR  [1],a,Resume,1,PLACEMENT
"Who we are
Being a young and vibrant company trying to change the perspective on how people perceive health and fitness, we make for a colourful bandwagon. At cure.fit, we challenge the routine and look to create meaningful solutions to make healthy a seamless experience for everyone.
Fitness as they say is a journey, and perhaps you can be a part of ours.
What are we looking for?
Weve carefully handpicked individuals who believe in the vision of cure.fit - to make this world a healthier, fitter place. Breaking boundaries and doing more than what is expected is what people at cure.fit are known for. If this sounds like you, join our team of highly motivated individuals, as we reach out to each other to build a product just as unique as you.
Roles and Responsibilities:
As part of the campus hires wed like you to work with us on current set of projects that include AI powered Fitness Coach, Nutritionist and Doctor, Optimal routing in hyperlocal delivery logistics, ML based class scheduling, inventory calculations and recipe formulation. 
Engineering Team is building systems and infrastructure to enable seamless user experience across all our offerings i.e. cult.fit, eat.fit, mind.fit and care.fit.
Responsibilities include
	Ability to design and code right solutions starting with broadly defined problems.
	Drive best practices and engineering excellence.
	Work with other team members to develop the architecture and design of new and current systems.
	Work in an agile environment
	Work in an agile environment to deliver high quality software.
	Establishing and enforcing 
o	systems monitoring tools and standards.
o	Risk Assessment policies and standards.
o	Escalation policies and standards.
o	Essential Functions System Architecture Process Design and Implementation.",,15,No,,AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,1,Curefit,"2800000 INR  [We offer a comprehensive package of 28L to our employees from campus. This includes 21L as your fixed pay, 1L Joining Bonus and ESOPs worth 6L.]",Engineer,"Resume,Online/Offline test (Max 30 mins)",0,PLACEMENT
Shared Already,,17,No,The students hired for this profile will have to work out of the India office for a year.,AT_ET_CS_EE_EC_TE_IM_MA,2,Uber India Systems,"149900 USD  [149,900 USD [UBER INTERNATIONAL OFFER - CAMPUS 18-19' TECH FTE : AMOUNT(USD) PER ANNUM COMMENTS BASE 110,000 TARGET CASH BONUS 11,000 TARGET EQUITY REFRESHER: 656 RSUS 8750 656 RSUS. TOTAL STOCK VALUE- $26,250. EQUITY REFRESH GRANTS CURRENTLY VEST MONTHLY OVER 3 YEARS AND THE UNDERLYING SHARES ARE DELIVERED AFTER A LIQUIDITY EVENT (E.G., IPO). INITIAL GRANT: 1000 RSUS 10150 1000 RSUS. TOTAL STOCK VALUE- $40,600. VESTS OVER 4 YEARS. 25% GETS VESTED AFTER COMPLETING ONE YEAR, POST WHICH THIS GETS VESTED EACH MONTH THEREAFTER. RELOCATION 10000 ON ACTUALS TOTAL CTC 149,900]]",Software Engineer (International Profile) 2018-19,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
"For the people who drive with Uber, our app represents a flexible new way to earn money. For cities, we help strengthen local economies, improve access to transportation, and make streets safer. And thats just what were doing today. Were thinking about the future, too. With teams working on autonomous trucking and self-driving cars, were in for the long haul. Were reimagining how people and things move from one place to the next. About The Role: Are you a talented software engineer who wants to be part of one of the fastest growing and coolest startup companies on the planet? Are you passionate about massive scalability and conquering international markets? Do you want to make significant contributions to its success? If you answered yes to these questions, then this job may be for you! What are we looking for? ● Strong coding abilities. You have advanced knowledge of at least one programming language, and of OOP patterns. Youve used programming tools (e.g. version control) and already have a couple of full stack projects under your belt. ● Fast learner. Were looking for software engineers who perk up learning new technologies or a new partner API. You keep yourself up-to-date with the latest technological trends. Youre constantly on the lookout for opportunities to try out new things. ● Speed and quality. You strive on proving that these are not mutually exclusive that you can achieve both at the same time. You obsess about delivering business results as fast as possible. ● Ownership. You feel ownership over everything you ship; youd never call code released until youre confident its correct, fast and elegant. You pride yourself on thorough monitoring, concise up-to-date documentation, and adequate test coverage. ● You thrive in a startup culture where all hands are on deck, and consider no challenge too big or too small. ● A standout colleague. You believe that you can achieve more when you work in a team  that the whole is greater than the sum of its parts. You rely on others candid feedback for continuous improvement. You want to work with different finance, mobile, product, design and fraud teams to build the best solution for Uber. ● Design and business insight. You understand requirements beyond the written word. Whether youre working on an API used by other developers, an internal tool consumed by our operation teams, or a feature used by millions of customers, your attention to details leads to a delightful user experience. Perks: ● The rare opportunity to change the world such that everyone around you is using the product you built. Were not just another social web app, were moving real people and assets and reinventing transportation and logistics globally. ● Sharp, motivated co-workers in a fun office environment. ● Uber Credits",,17,No,,CS_EE_EC_IM_MA,3,Uber India Systems,3600139 INR  [3600139],Software Engineer 2018-19,"Resume,Online/Offline test (Max 30 mins)",1,PLACEMENT
