about,cgpa_cutoff,com_id,contract,criteria,ctc,dep_str,jnf_id,profile,selection,type
"About American Express 
American Express is a global services company that provides consumers and businesses with exceptional access to products, insights and experiences that enrich lives and build business success.

Working at American Express 
What you choose to do for a living is one of the most meaningful decisions you can make. At American Express, our job is to help you excel at yours. We provide experiences to become a great leader, a world of opportunities to grow your career, and an inclusive culture to help you thrive. Because the best way to back our customers is to back our people. 

With a career at American Express you get 
 An iconic global brand, where you can grow as a leader 
 Meaningful and rewarding work that is performed with integrity 
 A culture of learning in collaboration with great colleagues and leaders 
 A unique career journey shaped by your talent and curiosity 
 Support and trust to thrive in your career and life 


Overview of the Business 
A single decision can have many outcomes. And when that decision affects hundreds of thousands of customers and employees, it needs to be the right one. Thats where our Enterprise Credit & Fraud Risk Management and Enterprise Digital & Analytics teams comes in. ECFRM & EDA are the backbone of all financial services operations at American Expressit impacts every aspect of the company. As a part of this team, youll work with the industrys top ECFRM & EDA teams to create smart but innovative strategies that advance our market share and the way we do business. If youre interested in getting to know all areas of our business and can translate our business needs into remarkable solutions, you should consider a career in ECFRM & EDA. 

Job responsibilities: 
There are three Job families within Enterprise Credit & Fraud Risk Management and Enterprise Digital & Analytics teams. Specific job responsibilities vary as per the Job family. 
Decision Sciences: 
Development, deployment and validation of predictive model(s) and supporting use of models in economic logic to enable profitable decisions across risk, fraud and marketing
Business and Analytical Solutions: 
Development, review and/or execution of economic logic & analytical solutions to drive profitable marketing or credit business actions. 
Big Data Labs: 
Develop Big Data capabilities, tools and techniques to enhance Credit and Fraud Risk, and Information Management functions 

Generally, the role will entail the following responsibilities: 

	Analyze large amounts of data to derive business insights and create innovative solutions 
	Leverage the power of closed loop through Amex network to make decisions more intelligent and relevant 
	Innovate with a focus on developing newer and better approaches using big data & machine learning solution 


Qualifications and Skills Required: 

	Ability to drive project deliverables to achieve business results
	Ability to work effectively in a team environment
	Strong communication and interpersonal skills
	Ability to learn quickly and work independently with complex, unstructured initiatives
	Ability to Integrate With Cross-Functional Business Partners Worldwide
	Good Programming skills are a must
	Knowledge of SAS, Java, Hive, Pig, Python, SQL is a plus
	Knowledge of MS Office  PowerPoint, Excel",0.0,562,NO,,"1767333 INR  [CTC : 17,67,333 INR 
Fixed : 14,71,783 INR 
Variable pay : 95,550* INR 
Joining Bonus : 2,00,000 INR 

*(please note : Variable pay mentioned is the minimum variable pay paid at ""meet expectation"" performance rating. This can go upto 210,210 INR for a top performer which is not mentioned as part of the CTC)]",AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,1,Management Trainee,"Resume,Online/Offline test (Max 30 mins)",PLACEMENT
"Software Engineer I 

""AppDynamics is an application performance monitoring solution that uses machine learning and artificial intelligence (AI) to provide real-time visibility and insight into IT environments. With our unique AIOps solution, you can take the right action at exactly the right time with automated anomaly detection, rapid root-cause analysis, and a unified view of your entire application ecosystem, including private and public clouds.  Using AppDynamics, youll finally align IT, DevOps, and the business around the information that helps you protect your bottom line and deliver flawless customer experiences at scale.""


AppDynamics R&D Center in Bangalore was founded in 2015 with a focus on core product and engineering areas. The Bangalore center works closely with San Francisco team and imbibes the culture that AppDynamics has become known for. Over next few years, Bangalore R&D Center would evolve as a center of excellence for core product & engineering innovation in AppDynamics.

About You

You are the kind of engineer who has a passion to solve complex problems that enable the development of enterprise-grade products. You also have the following:
	Pursuing Final Year CS / EE degree.
	Proficiency in a programming language such as Java or C / C++
	Strong foundation in data structures, operating system, algorithms and a strong understanding of threads, synchronization, concurrent programming
	Must be a proven performer and team player who enjoys challenging assignments in a high-energy, fast-growing and start-up workplace
	Attitude and ability to learn and execute quickly
	Agility and ability to adapt quickly to changing requirements, scope and priorities
	Ability to collaborate effectively in a team to solve complex problems and build scalable and high-performance software.

About the Team/Role

Our products provide real-time insights into application performance, user experience, and business outcomes. Complex enterprise applications often contain frustrating blind spots and mysterious, recurring problems. The AppDynamics platform provides real-time visibility into end-to-end application performance from user interface points like browser or mobile-based applications to runtimes on the server side like Java Runtime Environment (JRE), Application Servers and Web Servers, C/C++, Python, NodeJS, leading relational and NoSQL databases as well as network performance between various server runtimes. AppDynamics products monitor very complex cloud-based solutions that process millions of transactions per minute.

Developing these products requires an engineer to design, build and monitor complex distributed systems that processes data to the extent of 1 trillion events per day and 100s of million metrics per minute. This processing of voluminous data translates into 100s of TB of data that we analyze using advanced machine learning techniques to derive useful insights.
 
As an engineer at AppDynamics you would get the opportunity to build highly scalable microservices using cutting edge software like Kafka, Storm, Spark, Hadoop, ElasticSearch, Hbase, NodeJS, cloud environments like AWS, Amazon Dynamo DB, Kinesis, Redis, Graph Database, Pivotal Cloud Foundry and  containers like Docker, mobile platforms like iOS and Android",8.0,202,No,"Software Engineer I 

""AppDynamics is an application performance monitoring solution that uses machine learning and artificial intelligence (AI) to provide real-time visibility and insight into IT environments. With our unique AIOps solution, you can take the right action at exactly the right time with automated anomaly detection, rapid root-cause analysis, and a unified view of your entire application ecosystem, including private and public clouds.  Using AppDynamics, youll finally align IT, DevOps, and the business around the information that helps you protect your bottom line and deliver flawless customer experiences at scale.""


AppDynamics R&D Center in Bangalore was founded in 2015 with a focus on core product and engineering areas. The Bangalore center works closely with San Francisco team and imbibes the culture that AppDynamics has become known for. Over next few years, Bangalore R&D Center would evolve as a center of excellence for core product & engineering innovation in AppDynamics.

About You

You are the kind of engineer who has a passion to solve complex problems that enable development of enterprise grade products. You also have the following:
	Pursuing Final Year CS / EE degree.
	Proficiency in a programming language such as Java or C / C++
	Strong foundation in data structures, operating system, algorithms and a strong understanding of threads, synchronization, concurrent programming
	Must be a proven performer and team player who enjoys challenging assignments in a high-energy, fast growing and start-up workplace
	Attitude and ability to learn and execute quickly
	Agility and ability to adapt quickly to changing requirements, scope and priorities
	Ability to collaborate effectively in a team to solve complex problems and build scalable and high performance software.

About the Team/Role

Our products provide real-time insights into application performance, user experience and business outcomes. Complex enterprise applications often contain frustrating blind spots and mysterious, recurring problems. The AppDynamics platform provides real-time visibility into end-to-end application performance from user interface points like browser or mobile based applications to runtimes on the server side like Java Runtime Environment (JRE), Application Servers and Web Servers, C/C++, Python, NodeJS, leading relational and NoSQL databases as well as network performance between various server runtimes. AppDynamics products monitor very complex cloud based solutions that process millions of transactions per minute.

Developing these products requires an engineer to design, build and monitor complex distributed systems that processes data to the extent of 1 trillion events per day and 100s of million metrics per minute . This processing of voluminous data translates into 100s of TB of data that we analyze using advanced machine learning techniques to derive useful insights.
 
As an engineer at AppDynamics you would get the opportunity to build highly scalable micro services using cutting edge software like Kafka, Storm, Spark, Hadoop, ElasticSearch, Hbase, NodeJS, cloud environments like AWS, Amazon Dynamo DB, Kinesis, Redis, Graph Database, Pivotal Cloud Foundry and  containers like Docker, mobile platforms like iOS and Android","4560048 INR  [Base Salary: 1650000
Employer PF:    99000
Gratuity:            39663
Performance Bonus: 132000
Relocation Allowance: 192385 (Lump Sum)
Sign on Bonus:            600000 (1st Month: 300000 & 13th
                                                   Month 300000 will be paid)
RSU Value of $ 25000: 1700000 (Vested over 4 years)
Home Internet Expense: 24000
Tuition Fee Reimbursement: 125000
-------------------------------------------
Gross Salary for 1st Year:   29,85,048
---------------------------------------------
Total CTC:                         4560048
--------------------------------------------
Perks:                             150000]",AE_AG_BT_CH_CY_CE_GG_HS_ME_MT_MI_NA_PH,4,Software Engineer I,Online/Offline test (Max 30 mins),PLACEMENT
"About Apple in IndiaApple revolutionised personal technology with the introduction of the Macintosh in 1984. Today, Apple leads the world in innovation with iPhone, iPad, Mac, Apple Watch and Apple TV. Apples four software platforms  iOS, macOS, watchOS and tvOS  provide seamless experiences across all Apple devices and empower people with breakthrough services including the App Store, Apple Music, Apple Pay and iCloud. Apples more than 100,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it.In India, Apple is expanding and developing features with local customers in mind these include support for Hindi dictation and new language keyboards on iOS11, support for local traffic in Maps and up-to-date cricket scores and stats by simply asking Siri.In addition, Apple Musics curation featuring the best of Dance, Pop, Rock, Bollywood and more, combined with the compelling student and family memberships available in Indian rupees means music fans across the country hear and watch it first on Apple Music.Last year, a new, world-class, LEED-certified office opened for the expanding team in Hyderabad, focused on developing Maps for Apple products. A first-of-its- kind App Accelerator in Bengaluru recently launched and has already trained thousands of iOS developers. The iOS app economy in India is more vibrant than ever. Indian app developers have created almost 100,000 apps for the App Store and this continues to grow.Apple expects to be running all of its business in India on renewable energy by the end of 2017.
 Pursuing an Graduate or Masters degree Excellent quantitative and communication skills
 Programming knowledge in at least one of the following areas: iOS OS X or WatchOS development (Objective-C Swift) Web development (JavaScript HTML CSS3) Server-side development (Java)
 Leadership experience
 Related internship experience
 Graduating year 2017 - 2018EducationDesired Majors include: CS CE ECE EECS IS IT and other related fields of study.
Location: This role is based in Hyderabad India.Apple is an Equal Employment Opportunity Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants including minorities women protected veterans and individuals with disabilities.",0.0,549,NO,,"2563133 INR  [Bachelors : 
Base: 1350000
Sign On Bonus:200000
Year end bonus: >54000
Stocks: 35000 USD (vesting equally every 6 months over 4 years)

Masters : 
Base: 1450000
Sign On Bonus:200000
Year end bonus: >54000
Stocks: 35000 USD (vesting equally every 6 months over 4 years)]",AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,1,Software Engineer,"Resume,Online/Offline test (Max 30 mins)",PLACEMENT
"As a Business Analyst, your role would be to:  Add value to clients by generating innovative ideas  Drive decision making through critical/thorough analysis  Support the project leader by undertaking primary and secondary research A Business Analyst will be an integral part of the team working directly with the client on strategic engagements and can expect significant client interaction. Base Location  Mumbai/Bangalore/Delhi/Hyderabad Project Location  Anywhere in India/Philippines/Abroad",0.0,323,NO,,1500000 INR  [Cost to Company: 15 Lakhs Gross : 11.5 Lakhs Bonus : 3.5 Lakhs (1 Joining + 2.5 Annual Performance Bonus)],AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,1,Business Analyst,Resume,PLACEMENT
"The Financial Modeling Group (FMG) is responsible for the research and development of financial models underpinning the risk management analytics produced at BlackRock. The group also contributes to the infrastructure and software responsible for the production of analytics and the delivery of analytic content to portfolio and risk management professionals both within and outside BlackRock. Given the diversity of business objectives among BlackRock Solutions clients and within BlackRock itself the models developed and supported by the Financial Modeling Group span a wide array of financial products, ranging from equity to fixed income to derivatives. In addition, members of FMG seek to provide analysis and insight on many different levels from analysis of the cash flows of a single bond to the overall financial risk associated with an entire portfolio, enterprise or balance sheet.

Job Purpose/Background:

The Financial Modeling Group focuses on developing mathematical and behavioral models in valuation and risk management, covering asset classes including but not limited to Fixed Income, Equity and Alternatives. This role focuses on alternative investments, particularly private equity and special credit opportunity

Development Value:
►	The position will learn quantitative analysis and behavioral modeling, as well as technology of risk analytics related to variety of asset classes. 
►	In addition, FMG offers learning opportunities in both portfolio management and risk management at the corporate level

Key Responsibilities:
►	Using statistical, econometric and machine learning techniques to model behaviors of various loans, including consumer, SME or corporate
►	Conduct model development through statistical analysis on large datasets
►	Back testing modeling choices
►	Implement the model and integrate the model into Aladdin analytical system  
►	Develop scalable business processes for modeling of various alternative investments
►	They will have the opportunity to work on significant projects that will expand their knowledge and skills, as well as benefit BlackRock
►	They will also help with maintenance and support of our existing models. In addition, they may play important roles towards the research and development of new models.
►	Provide modeling and analytical supports to internal and external clients  
►	Develop models using various technologies and quantitative concepts to deliver on the objectives of the group.

Skills/Qualifications:
►	Strong quantitative skills with good knowledge of statistics and mathematical modeling.
►	Understanding on multi variants regression, machine learning, data visualization and big data tools are highly desirable.
►	Hadoop/Spark/Python/C++/SQL programming skills are plus
►	Exposure to modeling technologies like R/SAS with good command over SQL and UNIX
►	Strong desire to apply these skills to address financial problems and issues that BlackRock encounters in the course of business
►	Progress toward CFA / FRM a plus

Competencies:
►	Strong analytical skills, attention to detail and strong work ethics
►	Possess a positive attitude and ability to work as part of a team in a fast-paced environment
►	Possesses excellent communication and presentation skills
►	Possesses excellent creative and analytical skills
►	Organized in carrying out the responsibilities, possess strong time management skills and should be high on focus",0.0,536,No,,1400000 INR  [Bachelor's Degree CTC 1400000 | Master's Degree CTC 1500000],AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,1,Analyst,"Resume,Online/Offline test (Max 30 mins)",PLACEMENT
"Analyst at Capital One, we think big and do big things. We were the first company to develop and offer mass customization and personalization of credit card and financial services products, and we have been innovating relentlessly ever since. Today, we are a progressive financial services powerhouse spanning Credit Cards, Auto Loans, Savings, Healthcare Finance, Small Business and Banking and at the same time a high-tech company, a scientific laboratory, and a nationally recognized brand all in one impacting over 65 million customer accounts. Still founder-led by Chairman and CEO Richard Fairbank, we dare to dream, disrupt and deliver a better way for our customers, the financial industry and for each other. At DataLabs Capital One India, we are at the cutting edge of solving some of the fundamental business problems using advanced data methodologies, statistics and machine learning algorithms. The team also builds tools and products that aid validation of credit and market risk models required for regulations such as Basel & CCAR. The mission of DataLabs is to build strategically important and path breaking data products and solutions to meet contemporary business needs. We create patentable products by innovating in each stream that we work on. This is achieved through deep expertise in advanced analytics, data science, machine learning, engineering, automation and product design. The exclusive focus on building and owning high end data products enables DataLabs to recruit, develop and partner with world class analytical, data science and technological talent to develop amazing careers and industry expertise. Here youll work in a fast paced and intellectually rigorous environment. You are expected to build deep expertise in core areas of financial services. The two things we value most in our associates are innovation and persistence. You will be challenged to think out of the box and create truly world class products and processes! We offer analyst positions in a wide range of departments, across the company. 
What are we looking for? 
	Exceptional self-drive and motivation 
	Desire to build deep subject matter expertise 
	High degree of persistence 
	Good Logical / Analytical / Quantitative /Reasoning skills 
	Inclination to learn new tools & techniques like Python, Machine learning, etc. 
	Good interpersonal, leadership and communication skills 
	Comfort with technical problem solving e.g. Mathematics, statistics and coding Eligibility 
	The students should be admitted through the Indian Institute of Technology Joint Entrance Examination (IIT - JEE) 
	CGPA 6.5 and above 
	Students should be graduating in 2020 Capital One is an equal opportunity employer committed to diversity in the workplace.",0.0,97,No,,"1936808 INR  [Total CTC: 19,36,808 : 
Total Fixed Pay Breakup (TFP):                                 1,500,000 : 
Basic	                                    600,000
House Rent Allowance	                                    300,000
Leave Travel Allowance	                                      20,000
Medical Allowance	                                      15,000
Special Allowance	                                    473,800
Conveyance Allowance	                                      19,200
PF (Company contribution)	                                      72,000
Annual Performance Cash Bonus: 	                                      58,125
Sign - On Bonus	                                    100,000
Anniversary Bonus	                                    100,000
Insurance Benefits:                                    38,237
Other Benefits:                                    140,446]",AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,2,"Analyst, Associate","Resume,Online/Offline test (Max 30 mins)",PLACEMENT
"A Consultant is expected to:  Work on client engagements or on special projects interacting directly with business stakeholders  Own and manage all data for specific analytical projects. Work with the business team to specify analysis tasks to generate insights. Design and execute the analysis tasks using the appropriate language / tools  Involved in structuring an approach to the problem definition, develop hypotheses and formulate the problem solving approach  Instrumental in receiving aggregated data, investigating relationships between distinctive events for analysis  Interpret end-user requirements by specifying economic decision models, determining appropriate data sources, and performing detailed statistical analysis  Learn and use SAS, CART and other modeling/statistical tools and techniques to carry out analysis and reveal insights  Summarize analysis and create exhibits that transmit the message of the data effectively  Devising innovative and actionable solutions for complex business problems",0.0,156,NO,,"850000 INR  [CTC : ~11 LPA
 Details - INR 8,50,000 + 12-20% OF FIXED COMPONENT + INR 1,00,000 ANNIVERSARY BONUS PAYABLE AFTER 1 YEAR (RETENTION CLAUSE OF 1 YEAR FROM THE DATE OF BONUS PAYOUT) + INR 25,000 RELOCATION BONUS]",AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,2,Consultant,"Resume,Online/Offline test (Max 30 mins)",PLACEMENT
"Quantitative and Technical Roles at Goldman Sachs India About Goldman Sachs Goldman Sachs is global investment banking, securities and investment management firm.We provide a wide range of services to a substantial and diversified client base that includes corporations, institutional investors, governments, non-profit organizations and high net worth individuals. Our headquarters are in New York and we maintain significant offices in London, Bangalore, Mumbai, Tokyo, Hong Kong and other financial centers around the world. About Our Quantitative and Technical Roles Goldman Sachs is a world leader in developing quantitative and technological solutions to complex business problems.Working side by side with the firms trading, sales and investment management professionals, our quantitative and technical professionals use their training to create financial products, advise clients on transactions, measure risk and identifymarket opportunities. Job Responsibilities Candidates would be required to work on a wide range of problems, including the following:  Developing and validating quantitative models used: 1) to calculate the fair value of financial contracts (securities and derivatives); 2) to measure, analyze and manage the risks in our businesses (market, counterparty credit, operational, funding and liquidity risks as well as legal, regulatory and reputational risks); 3) to execute trades and make markets electronically in equity and fixed income products; and 4) to create trading strategies, portfolio analytics and risk management tools for the firms mutual funds, hedge funds and private wealth clients.  Designing and developing sophisticated software and systems using proprietary as well as modern web, mobile, and, desktop technologies: 1) to manage, visualize, and analyze massive sets of market and operational data used in our trading, risk management, and control functions 2) to correctly and efficiently route orders for billions of dollars of securities every day; 3) to allow the ability to represent, transact in and risk manage all of the firms OTC derivative positions; and 4) to distribute computations across tens of thousands of computers. 5) to make use of functional programming paradigm and big data solutions to develop firms next generation modeling, pricing, and risk management platform 6) to contribute to key open source initiatives  e.g. GSCollections, Project Panama 7) to build firms strategic mobile platform Qualifications We are interested in applicants who possess skills in several of the following areas: Mathematics: probability and statistics, differential equations, time series analysis, Monte Carlo methods, data mining, machine learning, regression and other numerical techniques. Computer Science: strong fundamentals in distributed systems, databases, design and analysis of algorithms, implementation of programming languages and run-time systems. Knowledge of finance, stochastic calculus and financial models is not required.",0.0,140,NO,,"3150000 INR  [[CTC 21,00,000 INR - SUPPLEMENTAL SALARY 7,00,000 INR (SUPPLEMENTAL SALARY IS AN ACCRUED BONUS PAID OUT IN MONTHLY INSTALLMENTS PRO-RATED FROM THE DATE OF JOINING, THIS IS ONLY APPLICABLE DURING THE FIRST YEAR OF JOINING) TOTAL COMP. 28,00,000 INR - ONE-TIME PAYMENT 3,50,000 INR - [Enclosed in email]]]",AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,2,Analyst Quantitative and Technical Roles,Online/Offline test (Max 30 mins),PLACEMENT
"Software Engineer, University Graduate - Bangalore or Hyderabad

Company overview:
Google is not a conventional company, and we dont intend to become one. True, we share attributes with
the worlds most successful organizations  a focus on innovation and smart business practices comes to
mind  but even as we continue to grow, were committed to retaining a small-company feel. At Google,
we know that every employee has something important to say, and that every employee is integral to our
success. We provide individually-tailored compensation packages that can be comprised of competitive
salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and
rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of
technology to change the world, and are as passionate about their lives as they are about their work. For
more information, visit www.google.com/careers.

The areas:
Engineering & Operations: Google is and always will be an engineering company. We hire people with
a broad set of technical skills who are ready to tackle some of technology's greatest challenges and make
an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they
routinely work on massive scalability and storage solutions, large-scale applications and entirely new
platforms for developers around the world. From AdWords to Chrome, Android to YouTube, Social to
Local, Google engineers are changing the world one technological achievement after another.
Engineering Productivity: As a software engineer in the Engineering Productivity organization, you'll
use your software design, analysis and programming skills to create innovative automated test systems.
This isn't a job in which you'll simply debug and run test cases; in fact that only scratches the surface. The
test team undertakes a broad range of challenges on a daily basis, designing and building intelligent
systems that can explore various use cases and scenarios for distributed computing infrastructure. Just
imagine trying to design and build an automated testing system for something that's never been done
before. There are no textbooks that can help you learn this, which is why we have some of the best and
brightest engineers working in this group.

The role:
Google's software engineers develop the next-generation technologies that change how millions of users
connect, explore, and interact with information and one another. Our ambitions reach far beyond just
Search. Our products need to handle information at the the scale of the web. We're looking for ideas from
every area of computer science, including information retrieval, artificial intelligence, natural language
processing, distributed computing, large-scale system design, networking, security, data compression,
and user interface design; the list goes on and is growing every day. As a software engineer, you work on
a small team and can switch teams and projects as our fast-paced business grows and evolves. We need
our engineers to be versatile and passionate to tackle new problems as we continue to push technology
forward. As a key member of a small and versatile team, you design, test, deploy and maintain software
solutions.

Responsibilities:
● Research, conceive and develop software applications to extend and improve on Google's
product offering.
● Contribute to a wide variety of projects utilising natural language processing, artificial intelligence,
data compression, machine learning and search technologies.
● Collaborate on scalability issues involving access to massive amounts of data and information.
● Solve all problems that come your way.

Minimum qualifications:
● BS/ MS or equivalent practical experience.
● Experience with Unix/Linux or Windows and/or Mac environments, distributed systems, machine
learning, information retrieval and TCP/IP.
● Experience programming in C, C++, Java and/or Python.",0.0,201,NO,,"3077100 INR  [Software Engineer- B.Tech/ B.E. - 3077100 INR
(Base Salary 1,610,000 ; Target Bonus 241,500 ; Value of new hire equity**
(12 months' vesting) 920,600 ; Benefits 155,000 ; Sign-on bonus 150,000 )
Software Engineer- M.Tech/ M.E. - 3223600 INR
(Base Salary 1,730,000 ; Target Bonus 259,500 ; Value of new hire equity**
(12 months' vesting) 920,600 ; Benefits 163,500 ; Sign-on bonus 150,000)

Values above are rounded to the nearest hundredth
*Base salary comprises basic salary and basket of allowances
**The above enlists equity for the first 12 months only and does not include equity for the next 3 years,
which is over and above the CTC indicated above]",AE_AG_AR_BT_CH_CY_CE_CS_EE_EC_GG_HS_IM_MA_ME_MT_MI_NA_PH,2,Software Engineer,"Resume,GD,Online/Offline test (Max 30 mins)",PLACEMENT
"Halma is looking for talented individuals with a Bachelors degree or higher in a technical, engineering or science field, who have the potential to be future leaders of our businesses. We will develop the right candidates into experienced executives. 

This leadership development programme offers full time salaried employment starting with 2 years training. 

Trainees will be given 18 - 24 months of rotational project placements, with responsibility for completing challenging projects at our operating companies. 

Projects will be in technical, operational, strategic and commercial areas, providing the trainee with wide range of experience early on in their career. 

The programme includes: 
- India based project placements 
- at least one placement overseas in UK, Europe, USA, South America or China
- a personalised programme tailored to candidates' needs and skills 
- commercial, operations and technical training 

In addition, we support trainees with three residential training modules and a mentoring programme. 

At the end of the HFL training period, successful trainees will be offered a permanent position aligned with their aspirations, at one of our operating companies.",0.0,285,No,,"2785000 INR  [CTC 30,00,000 (Details in attached PPT)]",AE_BT_CH_CY_CE_CS_EE_EC_GG_IM_MA_ME_MT_MI_NA,1,Halma Future Leader - Graduate Trainee,"Resume,GD,Online/Offline test (Max 30 mins)",PLACEMENT
